misdeed	 n.  罪行， 犯罪
pandemic	 adj.  大范围流行的
languor	 n.  身心疲惫
acid	 n.  酸
transmission	 n.  播送， 发射； 传动， 传送， 传播， 传染
paroxysm	 n.  发作； 突发
negligence	 n.  疏忽
dubious	 adj.  有问题的， 靠不住的；  怀疑的； 犹豫不决的； 半信半疑的， 可疑的
intuition	 n.  直觉
swift	 adj.  快速的， 敏捷的
ductile	 adj.  易延展的； 易教导的
add	 v.  加
liquidate	 v.  清算
accede	 vi.  同意； 即位， 继任
ratify	 v.  批准
effulgence	 n.  光辉， 灿烂
vivify	 v.  给予生气， 使复生； 使生动， 使活跃
abstemious	 adj.  有节制的  ； 节约的
amend	 v.  修改， 修正
finite	 adj.  有限的；  限定的
carbon monoxide	 n. 一氧化碳
constructive	 adj.  建设性的
propitious	 adj.  吉利的； 顺利的
tantrum	 n.  发脾气
nullify	 v.  使无效
benevolent	 adj.  慈善的
ado	 n.  纷扰； 忙乱
purloin	 v.  偷窃， 盗取
fusion	 n.  融熔
carnivore	 n.  食肉动物
pharmacy	 n.  药房； 药剂学； 配药业， 制药业
upheave	 v.  举起， 推上去使上升， 隆起
adjustment	 n.  调节
rationalization	 n.  合理化
reproductive system	 [解剖] 生殖系统；繁殖方式
treachery	 n.  背叛， 反叛
aborigine	 n.  土著居民
benevolence	 n.  仁爱心； 善行
disinfect	 v.  消毒
expiate	 v.  赎罪； 补偿
perjure	 v.  发假誓， 作伪证
grandeur	 n.  庄严， 宏伟， 壮观
laser	 n.  激光； 激光器
mixture	 n.  混合物
scope	 n.   范围； 机会， 余地
stratify	 vt.  使成层， 使分层； 使形成阶层
archaeology	 n.  考古学
enumerate	 v.  数， 点； 枚举， 列举
morale	 n.  士气， 民心
expatriate	 v.  逐出国外
estrange	 v.  疏远
embrace	 v.  拥抱； 包含
intersect	 v.  直线相交
breech	 n.  臀部
assailant	 n.  攻击者
nitrogen	 n.  氮
judicious	 adj.  明智的； 审慎的
denude	 v.  使裸露； 剥夺
vermin	 n.  害虫， 害兽， 寄生虫
modify	 vt.  更改， 修改， 改造， 修饰
steadfast	 adj.  稳定的； 坚定的， 忠实的
effusive	 adj.  过分热情的
mariner	 n.  水手
villainous	 adj.  恶毒的， 缺德的
detest	 v.  厌恶， 憎恨
exempt	 adj.  被免除  的， 被豁免的 vt. 免除，豁免
theorize	 v.  建立理论， 理论化
reservoir	 n.  水库， 蓄水池
fawn	 v.  奉承， 讨好
albeit	 conj.  虽然
aesthetic	 adj.  美学的， 艺术的； 审美的
incongruous	 adj.  不调和的； 不适宜的
tendency	 n.  趋向， 趋势
furbish	 v.  擦亮； 磨光
caption	 n. 标题 vt.  加上标题； 加上说明
arithmetic	 n.  算术
knighthood	 n.  骑士身份， 骑士风格， 侠义精神
variation	 n.  变化， 变动； 变种， 变异
subconscious	 adj.  下意识的
carbohydrate	 n.  糖类
chateau	 n.  城堡； 别墅
codicil	 n.  遗嘱的附录； 附录
eject	 v.  喷射， 排出； 驱逐
defect	 n.  缺陷
odds	 n.  事物发生的可能性， 机会
acme	 n.  顶点， 顶端
casual	 adj.  偶然的； 临时的
incomprehensible	 adj.  不能理解的
rebut	 v.  反驳； 揭穿
morass	 n.  沼泽； 困境
rhombus	 n.  菱形
telepathy	 n.  心灵感应， 感应
captious	 adj.  吹毛求疵的； 挑剔的
frenetic	 adj.  发狂的； 狂热的
nonchalant	 adj.  冷淡的
shrubbery	 n.  灌木林
script	 n.  剧本， 广播稿； 文字体系； 笔迹， 手迹
guise	 n.  外观， 装束； 伪装， 假装
likelihood	 n.  可能， 可能性
reactionary	 adj.  反作用的， 反动的
imprudent	 adj.  不谨慎的； 轻率的
drastic	 adj.  激烈的；  猛烈的
venial	 adj.  可宽恕的
innovate	 vi.  革新， 创新
vaporization	 n.  蒸发
accommodate	 v.  留宿， 收容； 供应， 供给； 调和， 适应
tenacity	 n.  坚韧
protagonist	 n.  领导者； 积极参加者
assertion	 n.  主张； 断言， 声明
prevaricate	 v.  支吾； 说谎
outcome	 n.  结果， 成果
polar	 adj.  地极的， 近地极的； 磁极的
synthesis	 n.  综合； 合成
advertiser	 n.  登广告者； 广告客户
cryptic	 adj.  秘密的， 含义模糊的
circumspect	 adj.  慎重的； 周到的
synopsis	 n.  大纲
meditate	 v. 沉思，冥想；反省；考虑；策划 vt.  内心策划
tribulation	 n.  苦难， 磨难
prototype	 n.  原型； 标准； 模范
demographic	 adj.  人口统计学的
recollect	 v.  回忆， 想起， 记起
acne	 n.  【医】痤疮， 粉刺
altercation	 n.  争论， 口角
cite	 v.  引用， 引证
acquaintance	 n.  相识， 熟人
atom	 n.  原子
bethink	 v.  想起
infamous	 adj.  声名狼藉的
prosaic	 adj.  散文的， 散文体的； 乏味的， 平凡的
fledgling	 n.  羽毛初长的雏鸟， 刚会飞的幼鸟； 无经验的人
precision	 n.  准确， 精确； 精确度
viceroy	 n.  总督
assertive	 adj.  断言的， 肯定的
larvae	 n.  幼虫
tolerable	 adj.  可容忍的； 可以的， 尚好的
body	 n.  物体
mode	 n.  众数
elapse	 vi.   消逝， 流逝
symmetry	 n.  对称  ； 匀称， 整齐
acrimony	 n.  刻毒； 讽刺； 毒辣
nemesis	 n.  报应； 复仇女神
retouch	 v.  润饰
buffer	 n.  缓冲器
bristle	 v.   竖起； 发怒 n. 刚毛，猪鬃
complement	 n. 补足物 vt.  补助， 补足
qualify	 v.   具有资格， 证明合格； 限制， 限定； 修饰
abhorrence	 n.  痛恨， 憎恶
adhere	 v.  黏附， 胶着； 坚持
vapid	 adj.  索然乏味的
sediment	 n.  沉淀物， 沉积物
tremulous	 adj.  震颤的； 颤抖的
unit	 n.  单位
panorama	 n.  全景； 概括， 综述
contemporary	 adj.  现代的， 当代的； 同时代的
substantive	 adj.  独立存在的； 真实的， 有实质的； 大量的， 巨额的
scowl	 v.  皱眉头
vermicide	 n.  驱虫剂， 打虫药
mock	 v. 嘲笑，讥笑 adj. 仿制的，假装的；模拟的，演习的 n.  模拟考试
archipelago	 n.  群岛； 多岛屿的海
territorial	 adj.  领土的
sensor	 n.  传感器
cathode	 n.  阴极
credence	 n.  信用， 信任
facilitate	 v.  使变得  容易， 使便利
rob	 v.  抢夺， 抢掠； 剥夺
verdant	 adj.  翠绿的， 青翠的； 生疏的， 没有经验的
accession	 n.  就职； 添加物， 增加物
buoyancy	 n.  浮性
rebellious	 adj.  谋反的， 反叛的； 反抗的； 难控制的
tacit	 adj.  默许的
demagoguery	 n.  煽动群众者
ration	 v.  配给， 分发， 实行定量配给 n. 定量，配给量；定量配给
predict	 v.  预言， 预测， 预告
linchpin	 n.  关键
undermine	 v.  暗中破坏， 逐渐削弱； 侵蚀…的基础
gloaming	 n.  黄昏；薄暮
subjective	 adj.  主观的
radical	 adj. 基本的，重要的；激进的，极端的；根本的 n.  根号， 根式
blunt	 adj.  钝的； 不敏感的； 坦诚的， 直率的
contingent	 adj.  可能发生的
hoary	 adj.   灰白的； 古老的， 古色古香的
reck	 v.  顾虑
minute	 adj.  微小的 n. 分，分钟；笔记；会议记录 vt. 记录，摘要
analogy	 n.  比拟， 类比
acerbity	 n.  涩， 酸； 刻薄
transcendent	 adj.  卓越的， 出众的
redolent	 adj.  芬芳的
milestone	 n.  里程碑， 里程标； 重要事件， 转折点
productive	 adj.  生产  的； 能产的， 多产的
reliant	 adj.  信赖的， 依靠的
outburst	 n.   爆发， 突发
hypothesis	 n.  假说， 假设， 前提
collapse	 v.  倒塌， 崩溃； 虚脱
profuse	 adj.  极其丰富的； 奢侈的
comprehend	 v.  理解， 了解
multiplicity	 n.  多样性
synchronous	 adj.  同时的
paraphrase	 v.  解释， 释义
battalion	 n.  军营； 军队
ribaldry	 n.  下流， 下流的话
bronchus	 n.  【解】 支气管
altar	 n.  祭坛，  圣坛；  讲坛
protein	 n.  蛋白质
modicum	 n.  少量， 一点点
immune system	 n. 〔身体的〕免疫系统
annual	 adj.  一年一次的， 每年的； 一年生的 n. 一年生植物；年刊，年鉴
exclusive	 adj.  专有的， 独占的； 除外的， 排他的
demur	 v.  犹豫不决
sequacious	 adj.  盲从的
poverty	 n.  贫穷； 缺少， 贫乏， 不足；  贫瘠
dwindle	 v.  减少； 缩小
perplexing	 adj.  复杂的， 令人困惑的
tarnish	 v.  失去光泽
inchoate	 adj.  未形成的， 不完全的， 早期的
testament	 n.  作为确实的证据或实证的事物； 遗嘱
mount	 v. 登上，爬上；安装，装配，固定，镶嵌 n.  支架， 底座， 底板； 山峰
acquiesce	 vi.  默许， 勉强同意
auspice	 n.  预兆， 吉兆；  占卜； 赞助； 支持
hodgepodge	 n.  大杂烩
telescope	 v.  压缩 n. 望远镜
requital	 n.  报酬； 报复
aqueous	 adj.  水的； 水般的
photography	 n.  照相术
accuse	 v.  控告， 谴责， 非难
visceral	 adj.  内脏的； 出自内心的
accentuate	 v.  着重强调
autocracy	 n.  独裁政治； 独裁政府
mutilate	 v.  毁伤
forthright	 adj.  直率的； 径直的
voluptuous	 adj.  性感的； 纵欲的
impotent	 adj.  无力的， 虚弱的； 无效的
algebra	 n.  代数学
aristocracy	 n.  贵族； 贵族政府； 贵族统治
espouse	 v.  嫁娶； 支持， 赞成
inspiring	 adj.  灌输的； 鼓舞的
acquire	 vt.  取得， 获得； 学到
fertile	 adj.  肥沃的， 富饶的； 能繁殖的
diversity	 n.  差异； 多样性
arc	 n.  弧， 圆周的任意一段
auricular	 n.  耳的； 耳状的
dividend	 n.  被除数
abstruse	 adj.  奥妙的， 深奥的
retard	 v.  延迟， 使减速
esteem	 n. 尊敬，敬重 v. 尊敬，敬重
acclivity	 n.  向上的斜坡
outweigh	 v.   超过
obfuscate	 v.  使模糊； 使混乱
decimal point	 n.  小数点
vociferate	 v.  大叫， 喊叫
antemundane	 adj.  世界形成以前的
collagen	 n.  胶原蛋白
miserly	 adj.  吝啬的， 贪婪的
empower	 v.  授权， 准许
suppress	 v.  镇压， 压制； 抑制， 忍住
ownership	 n.  所有 ， 所有制
tumor	 n.  肿瘤
ossify	 v.  使骨化； 使硬化
fulsome	 adj.   因过分而显得可厌的
serene	 adj.  安定的， 没有风波的； 沉着的， 沉静的， 安详的
fabulous	 adj.  极好的， 极妙的； 寓言般的， 神话般的； 惊人的， 难以置信的
dilemma	 n.   窘境， 困境
solace	 v.  安慰； 平息； 抚慰
belated	 adj.  误期的； 迟来的
rue	 v.  后悔， 懊悔
seditious	 adj.  煽动的； 煽动叛变的
disregard	 v.  不理， 不顾； 蔑视
lifetime	 n.  一生， 终身
cant	 v.  使倾斜； 倾斜 n. 伪善之言；隐语，行话；斜面
enact	 v.  制定法律， 颁布
indiscreet	 adj.  不慎重的， 轻率的
treacherous	 adj.  背叛的， 背信弃义的
scrutinize	 v.  细察
extinguish	 v.  熄灭 ， 消灭， 扑灭； 结束； 使失色， 使黯然
aeronautics	 n.  航空学； 航空术
vulnerable	 adj.  易受伤害的， 易受攻击的
affiliation	 n.   隶属关系； 隶属， 从属
defraud	 v.  欺骗
molt	 v.  脱毛；换毛
subjugate	 v.  征服， 镇压
piteous	 adj.  哀怨的， 可怜的
donate	 v.  捐赠， 赠送
deplete	 v.  耗尽； 使衰竭
recurrent	 adj.  再发生的， 周期性发生的， 循环的
bonanza	 n.  富矿带； 致富之源， 幸运
egregious	 adj.  异乎寻常的； 震惊的； 极坏的
sanguine	 adj.  血红的； 红润的； 乐观的， 怀有希望的
bole	 n.  树干， 树身
significant	 adj.  有意义的， 意味深长的； 重要的， 重大的； 非偶然的
consecrate	 v.  用作祭祀， 献给， 使神圣
complaisant	 adj.  彬彬有礼的， 殷勤的； 柔顺的
derisive	 adj.  嘲笑的， 可付之一笑的
catalogue	 n.  目录； 目录册
glycerol	 n.  甘油
agitation	 n.  煽动； 搅动； 使不安
overlap	 v.  部分重叠， 部分搭交
debase	 vt.  降低， 贬损
assassinate	 vt.  暗杀， 行刺； 中伤
forbearance	 n.  自制， 忍耐
complaisance	 n.  彬彬有礼； 殷勤
boon	 n.  恩惠； 实惠； 利益
distance	 n.  距离
abstain	 vi.  禁绝， 放弃
absence	 n.  不在场， 缺席； 缺乏， 没有
malicious	 adj.  怀恶意的， 恶毒的
vigilance	 n.  警戒； 警惕
surrogate	 n.  代理者； 代用品
outrageous	 adj.  蛮横的， 残暴的； 无耻的， 可恶的
solicitous	 adj.  热切的； 期望的
analogous	 adj.  类似的， 相似的； 可比拟的
abbreviate	 v.  缩写， 缩短， 简化
anticlimax	 n.  突降法， 突减； 虎头蛇尾
equivocate	 v.  说模棱两可的话； 支吾
adherent	 n.  信徒， 追随者， 拥护者
lavish	 adj.  非常大方的； 过分丰富的； 浪费的
grimy	 adj.  污秽的
approbation	 n.  官方批准； 认可， 嘉许
clarification	 n.  澄清
monk	 n.  和尚； 僧侣； 修道士
bond	 n.  原子的聚合
convoke	 v.  召集
discourse	 n. 〔关于某个主题的〕演讲，论述，著述
momentum	 n.  动量
obstruct	 vt.  阻塞， 截断， 堵塞； 阻碍， 阻止， 妨碍
oust	 v.  剥夺， 取代， 驱逐
octagon	 n.  八边形
ardor	 n.  热情
labyrinth	 n.  迷路， 迷宫； 难解的事物； 【解】  迷路
aquatic	 adj.  水的， 水上的； 水生的， 水栖的
kiosk	 n.  亭子
sequent	 adj.  接续而来的
symbolize	 v.  象征， 作为…的象征
cerebration	 n.  用脑， 思考
commotion	 n.  骚动； 暴乱
bounce	 v. （使）弹起，（使）反弹，（使）弹跳 n. 跳起，弹回，反弹
usage	 n.  用法， 惯用法
ammonia	 n.  氨
proficiency	 n.  熟练， 精通
oxidizer	 n.  氧化剂
anxious	 adj.  担忧的； 渴望的， 盼望的
drudgery	 n.  苦差事， 苦工
auditory	 adj.  耳的； 听觉的
monition	 n.  忠告； 警告
serendipity	 n.  意外发现珍奇  事物的本领
apothecary	 n.  药剂师； 药材商
olfactory	 adj.  嗅觉的
severely	 adv.  严格地， 激烈地
feint	 n.  伪装， 假装， 佯攻
elevate	 v.  举起， 提高， 抬高； 提升， 提拔； 使精神振奋， 使兴高采烈
designate	 v.  指明， 指出， 任命， 指派
slick	 adj.  光滑的； 熟练的
oppressive	 adj.  压制性的， 压迫的， 沉重的； 难以忍受的
generation	 n.  产生， 发生； 生殖， 生育； 一代人， 世代
humiliate	 vt.  使屈辱， 使丢脸
superintendent	 n.  主管， 负责人， 指挥者， 管理者
sulfur disoxide	 n. 二氧化硫
calculable	 adj.  可计算的； 能预测的
gene	 n.  基因
educe	 v.  得出, 导出； 引出， 唤起， 使显出
aye	 n.  赞成票； 投赞成票者
unequivocal	 adj.  明确的； 坦白的， 直率的
cleanliness	 n.  洁净
effigy	 n.   肖像， 雕像； 模拟像
feral	 adj.  野生的， 未驯服的； 野兽的
tenacious	 adj.  顽固的
omen	 n.  预兆， 征兆
desiccate	 v.  使干涸， 使脱水， 使枯竭
spectroscope	 n.  分光镜
jungle	 n.   丛林， 密林； 乱七八糟的一堆
armada	 n.  舰队
annalist	 n.  编年史编者
vindicate	 v.  为…而辩护； 复仇
apprehensible	 adj.  可了解的， 可理解的
bestrew	 v.  散布， 布满
unilateral	 adj.  一方的； 单方的； 一侧的， 片面的
pejorative	 adj.  轻蔑的； 贬抑的
misnomer	 n.  误称
ingenuous	 adj.  天真的， 坦白的
preferential	 adj.  先取的， 特惠的
bleak	 adj.  阴冷的， 寒冷的； 没有指望的； 令人沮丧的
kiln	 n.  窑
reclusive	 adj.  隐遁的， 隐居的
connective tissue	 n. 结缔组织〔如肌肉等〕
physics	 n.  物理学
bilateral	 adj.  有两边的， 双边的
glorious	 adj.  壮丽的， 辉煌的； 光荣的
aptitude	 n.  能力， 才能； 天资
besmear	 v.  涂抹； 弄脏
vile	 adj.  卑鄙的， 可耻的， 恶劣的； 坏透的
levity	 n.  轻率； 轻浮； 变化无常
reliance	 n.  信赖， 依靠
apostasy	 n.  变节， 背教， 脱党
dauntless	 adj.  不屈不挠的， 大胆的
superfluous	 adj.  多余的， 过剩的， 过量的； 不必要的
glycogen	 n.  糖原
conductor	 n.  导体
appreciable	 adj.  可感知的； 可评估的
reprieve	 v.  暂减， 缓期执行
apostate	 n.  变节者， 背教者， 脱党者
astringent	 adj.  收敛性的； 止血的； 尖刻的 n. 收敛剂
disorder	 n.  无序
aggravate	 vt.  恶化， 加重， 加剧
waive	 v.  放弃
transistor	 n.  晶体管
persevere	 vi.  坚持不懈， 锲而不舍
bowdlerize	 vt.  删除  不妥的文句； 删改； 修订
questionable	 adj.  可疑的
tyranny	 n.  暴政； 专政
voluminous	 adj.  多卷的； 容量大的； 庞大的
sealant	 n.  密封剂
amicable	 adj.  友善的
philanthropic	 adj.  博爱的
alleviate	 v.  减轻， 缓解， 缓和
obscurity	 n.  阴暗， 朦胧； 隐匿， 晦涩
afire	 adj.  燃烧着的
condescending	 adj.  谦逊的， 故意屈尊的
shun	 v.  避开， 避免
desiccant	 n.  干燥剂
sedative	 adj. 镇静的，止痛的 n.  镇静剂， 止痛药
factual	 adj.  事实的； 事实上的， 实际的
negotiate	 v.  谈判， 交涉， 商议
recondite	 adj.  深奥的； 隐藏的
supposition	 n.  假定， 想象； 推测， 推想
tumult	 n.  骚动； 烦乱
exigent	 adj.  紧急的， 迫切的； 苛求的， 要求很高的
shatter	 v.  打碎， 使散开； 粉碎， 破坏
vaudeville	 n.  歌舞杂耍； 综合演出
resurrection	 n.  复苏
glimpse	 n. 一瞥，瞟一眼 v. 一瞥，看一眼
transfer	 v.  转移， 调动， 转职； 转车； 转业， 转学； 转让， 过户
efficacious	 adj.  有效的； 灵验的
diversion	 n.  转向， 转移， 变更
affluence	 n.  富裕； 大量， 丰富
equiangular	 adj.  等角的
unscrupulous	 adj.  肆无忌惮的， 无道德的； 不谨慎的
morbid	 adj.  病态的
autopsy	 n.   尸体解剖； 验尸
erroneous	 adj.  错误的， 不正确的
limitation	 n.  限制， 局限性
destitution	 n.  贫穷， 穷困
terrify	 v.  使害怕， 使惊恐
denigrate	 v.  贬低， 诋毁
downplay	 v.  不予重视
inspiration	 n.  吸入， 吸气； 鼓舞， 激动； 灵感
alto	 n.  女低音； 女低音歌手
proctor	 n.   学监
theorist	 n.  理论家， 空谈家
highlight	 v. 使显著，使突出；强调 n.   光线最强处； 最精彩的部分， 最重要的事件
administrator	 n.  管理人； 行政官员
billion	 n.   万亿  ；  十亿
sheer	 adj.  全然的， 纯粹的； 绝对的， 彻底的； 极其薄的， 透明的； 峻峭的
compliment	 v.  称赞， 褒扬， 恭维 n. 称赞，恭维；致敬，问候
veracious	 adj.  说真话的， 可靠的； 真实的， 正确的
sequester	 v.  使隐退； 使隔绝； 扣
fugue	 n.  赋格曲
subvert	 v.  推翻； 搅乱， 暗中破坏
amount	 v.  合计
original	 adj. 最初的，原始的，原文的；新颖的，有独创性的 n.  原物， 原作， 原文
sap	 v.  使衰竭 n. 树汁；体液
album	 n.  集邮簿， 相册
adherence	 n.  黏着； 坚持； 忠诚
arrant	 adj.  彻头彻尾的； 声名狼藉的， 极恶的
glutinous	 adj.  黏性的
prosecutor	 n.  检举人
feudal	 adj.  封建的
pestilence	 n.  瘟疫
differ	 v.  不同， 相异
facetious	 adj.  幽默的， 滑稽的； 喜开玩笑的
affiliate	 n. 附属机构，分公司 vt.  使隶属  于
recessive	 adj.  隐性的
plane	 n.  平面
equivalent	 adj. 相等的，等价的，等值的；等面积的；等体积的 n.  相等物， 等价物， 等值物
momentary	 adj.  瞬间的， 刹那间的
hypocritical	 adj.  伪善的， 伪君子的
gloat	 v.  幸灾乐祸
christen	 v.  命名为
sensational	 adj.  轰动性的， 引起哗然的
depraved	 adj.  堕落的， 颓废的； 邪恶的
facile	 adj.  易做到的， 易得到的； 熟练的， 流畅的；  柔顺的， 温和的
alienate	 vt.  疏远
perfidious	 adj.  背信弃义的
plague	 n.  祸患， 瘟疫， 灾害
retrospect	 n.  回顾， 反顾
ban	 n. 禁止，禁令 vt.   禁止
canon	 n.   教规；  正典， 经典圣经；  真作集
apposition	 n.   并置， 并列
fascinate	 v.  使着迷； 使神魂颠倒
diplomatic	 adj.  外交的， 老练的； 策略的， 有手腕的
projector	 n.  投影仪
importunate	 adj.  不断要求的， 急切的
percipient	 adj.  感知的； 有觉察力的
complex	 adj.  复杂的 n. 联合体
fluid	 adj. 流动的，液体的 n.  流体， 液体
submersion	 n.  淹没
resonate	 v.   共鸣
pamphlet	 n.  小册子
posit	 v.  安置
ornate	 adj.  装饰的， 华丽的；  绚丽的
neutralization	 n.  中和
proliferate	 v.   繁殖， 繁衍； 激增
disclaim	 v.  放弃， 弃权； 拒绝
vernacular	 n.  方言； 本地话
hazardous	 adj.  危险的， 冒险的； 碰运气的
artery	 n.  动脉
florid	 adj.   华丽的；  红润的
plastic	 n.  塑胶
transient	 adj.  短促的， 片刻的， 一瞬间的； 暂住的， 临时的
wittingly	 adv.  有意地， 故意地
disrepute	 n.  坏名声
sonorous	 adj.   洪亮的， 响亮的； 能发出响亮的声音的 		【记】	词根记忆： son  + orous → 声音洪亮的
canny	 adj.  谨慎的； 精明的
hesitation	 n.  踌躇， 含糊； 口吃， 停顿
neophyte	 n.  新入修道院者； 新信徒
bibliophile	 n.  爱书者， 藏书家
accursed	 adj.  被咒的
insulate	 vt.  隔离， 孤立； 使绝缘， 使绝热
scarcity	 n.  缺乏
icon	 n.  图标； 偶像； 雕像
onerous	 adj.  繁重的； 麻烦的； 负有法律责任的
fervid	 adj.  热烈的， 热情的， 激烈的
amputate	 v.  切除
isolate	 v.  隔离， 孤立
effectual	 adj.  奏效的， 有效的
subsequent	 adj.  随后的， 后来的
omission	 n.  省略， 忽略， 疏忽
metabolic	 adj.  变化的； 新陈代谢的
tremor	 n.  震动； 颤动
plummet	 v.  垂直落下 n. 铅锤
set	 n.  集合
punctuate	 v.  加标点于； 不时打断； 强调
column	 n.  列； 圆柱
portent	 n.  征兆
procedure	 n.  手续， 步骤
biography	 n.  传记
integrate	 v.   成为一体，  结合在一起，  合并
pique	 n.  不满， 生气
pompous	 adj.  华而不实的； 自命不凡的； 浮华的
decry	 v.  谴责
validity	 n.  有效性， 正确性
earnest	 adj.  热心的， 诚挚的， 认真的
shrinkage	 n.  收缩
spider	 n.  蜘蛛
inordinate	 adj.  紊乱的； 过分的
testimonial	 n.  证明书
precede	 v.  领先 ， 在  前； 优先， 先于
disillusion	 v.  觉醒； 幻灭
humorous	 adj.  幽默的， 诙谐的
deride	 v.  嘲弄， 嘲笑
vehement	 adj.  激烈的， 猛烈的；  热烈的
differentiate	 v.  区分， 区别；  不同
reticent	 adj.  沉默寡言的
advocacy	 n.  拥护； 提倡
contact	 n.  接触
discharge	 v. 正式准许〔某人〕离开〔尤指让病人出院或让军人退伍等〕；通知〔病人〕出院；开除〔士兵〕军籍 n. 准许离开；出院；退伍
digit	 n.  数字，  数
disadvantage	 n.  不便， 不利， 不利的情况；  损害， 损失
suspicious	 adj.  可疑的， 令人怀疑的
zeal	 n.  热心， 热情
polygamy	 n.  一夫多妻制， 一妻多夫制
epitaph	 n.  墓志铭， 碑文
renovate	 v.  革新； 刷新， 修复
crepuscular	 adj.  朦胧的； 拂晓的； 黄昏的
mediator	 n.  调停者， 仲裁人
lucid	 adj.  清澈的； 透明的
invidious	 adj.  易招嫉妒的， 有害的； 诽谤的
humane	 adj.  有人性的， 有同情心的
perpendicular	 adj.  垂直的， 正交的
unruly	 adj.  不受拘束的， 难驾驭的
ordinate	 n.  纵坐标
depress	 v.  压抑， 降低； 使沮丧， 使消沉； 使萧条
boisterous	 adj. 〔尤指儿童〕喧闹的，活跃的
repress	 v.  压制
appalling	 adj.  令人震惊的， 骇人听闻的
reagent	 n.  试剂
candid	 adj.  无偏见的， 公正的； 坦白的， 率直的
vicissitude	 n.  变换； 兴衰
brigade	 n.  旅， 队
decoy	 n. 诱饵，用作诱饵的人
diffident	 adj.  缺乏自信的
inimical	 adj.  敌意的
coercion	 n.  强迫， 威压
corpulent	 adj.  肥大的， 肥胖的
parse	 v.  从语法上分析
reparable	 adj.  可修缮的； 可赔偿的
indicant	 adj.  指示的， 表示的
trajectory	 n.  轨道
descry	 v.  察看， 发现； 远远看到
prerogative	 n.  特权
elusive	 adj.  逃避的； 难懂的， 难捉摸的
appraise	 vt.  评价， 评定
implicate	 v.  使受牵连； 暗示
unwieldy	 adj.  笨拙的， 难处理的， 难使用的， 笨重的
realm	 n.  王国， 国土； 领域
extenuate	 v.  减轻
anemometer	 n.  风速计
comprehensive	 adj.  内容广泛的， 综合的
atheism	 n.  无神论
cornea	 n.  角膜
odoriferous	 adj.  有香气的
mechanical	 adj.  机械的， 机械制的； 机械似的， 呆板的
tirade	 n.  长篇的攻击性演说
invoke	 v.  唤起； 引起
brigand	 n.  土匪， 强盗， 歹徒
candor	 n.  坦白， 直率
gossamer	 n.  蛛丝； 薄纱
hemolysis	 n.  溶血
output	 n. 产量；产品 v. 〔计算机〕输出〔信息〕
knead	 v.  揉  成团， 捏制
symmetrical	 adj.  对称的， 均匀的
calumniate	 v.  中伤； 诽谤
deft	 adj.  巧妙的， 熟练的； 敏捷的， 灵巧的
baton	 n.  司令棒， 指挥棒， 警棍
vain	 adj.  徒然的， 无益的； 自负的， 虚荣的
fretful	 adj.  烦躁的， 焦躁的
harmonious	 adj.  协调的； 相称的； 和睦的， 融洽的
foresight	 n.  远见， 深谋远虑
spheroid	 n.  球状体
lung	 n.  肺
intercept	 vt.  中途拦截， 截击， 截取
verdict	 n.  裁定； 定论， 判断， 意见
reconsider	 v.  重新考虑， 重新审议
bacterium	 n.  细菌
cadaverous	 adj.  像尸体的； 苍白的
proportion	 n.  比， 比率； 比例
cogitate	 v.  思考， 考虑
crystal	 n.  晶体
stupor	 n.  昏迷
lugubrious	 adj.  可怜的， 悲惨的， 悲哀的
abhorrent	 adj.  可恶的
arboretum	 n.  树园， 植物园
ruthless	 adj.  残酷的， 无情的
simile	 n.  明喻
composed	 adj.  镇静的； 沉着的
prejudice	 v.  使抱偏见； 影响某人； 损害 n. 偏见，成见；损害，侵害
dissolve	 v.   溶解，  融化；  分解
angle	 n.  角
clergy	 n.  牧师， 神职人员
levee	 n.  防洪堤， 大堤
urgent	 adj.  急迫的， 紧迫的
cyclical	 adj.  轮转的
optic	 adj.  眼的； 视觉的； 光学上的
fanatic	 adj. 狂热的，盲信的 n.  狂热者， 盲信者， 入迷者
table	 v.  搁置； 把…列入议事日程 n. 桌子，台子；一桌人；表格
trestle	 n.  脚手架； 栈桥
side	 n.  边， 立体的面
predominate	 v.  统治， 支配； 占优势
systematic	 adj.  系统的， 体系的
vogue	 n.  时尚， 风气， 流行
gypsum	 n.  石膏
combustible	 adj.  易燃的
irrevocable	 adj.  不能取消的
stupendous	 adj.  惊人的； 巨大的
condescend	 v.  谦逊， 屈尊
transitory	 adj.  瞬间的， 一时的， 昙花一现的
mercurial	 adj. 墨丘利神的；水星的；精明的，易变的；水银的 n.  汞制剂
frowzy	 adj.  不整洁的
shuffle	 v.  搅乱； 洗牌
disburse	 v.  支付
keepsake	 n.  纪念品
constant	 n.  常量
congruent	 adj.   全等的
lament	 v.  哀悼； 悔恨 n. 悲伤，哀悼，恸哭；挽诗，悼词
intermittent	 adj.  间歇的， 断断续续的
outrage	 vt. 激怒 n.  暴行， 骇人听闻的事件； 愤慨
insatiable	 adj.  不知足的， 贪求无厌的
adumbrate	 v.  预示； 画轮廓
timbre	 n.  音色， 音质
felonious	 adj.  极恶的， 重罪的
immerse	 v.  使沉浸在； 使浸没， 使陷入
perilous	 adj.  危险的
helix	 n.  螺旋
coercive	 adj.  强制的； 强迫的
sardonic	 adj.  嘲笑的， 挖苦的， 讥讽的
onrush	 n.  奔流； 猛冲
depreciate	 v.  反对； 轻视； 折旧，  贬值
