reproduce	 v. 复制；再生；生殖；使…在脑海中重现
expurgate	 v. 删除，删去
impair	 v. 损害；削弱；减少
democrat	 n. 民主党人；民主主义者；民主政体论者
premonition	 n. 预告；征兆
rabbi	 n. 拉比（犹太人的学者）；法师；犹太教律法专家；先生
anyhow	 adv. 总之；无论如何；不管怎样
moving	 adj. 移动的；动人的；活动的 v. 移动（move的ing形式）
linear	 adj. 线的，线型的；直线的，线状的；长度的
amaze	 v. 使吃惊
fatalism	 n. 宿命论
audition	 n. 听力，听觉；试听 v. 试听；试音
likewise	 adv. 同样地；也
forecast	 v. 预报，预测；预示 n. 预测，预报；预想
incidental	 adj. 附带的；偶然的；容易发生的 n. 附带事件；偶然事件；杂项
thirst	 n. 渴望；口渴；热望 v. 渴望；口渴
rescue	 v. 营救；援救 n. 营救；援救；解救
explain	 v. 说明；解释
Swiss	 adj. 瑞士的；瑞士人的；瑞士风格的 n. 瑞士人；瑞士腔调
extraction	 n. 取出；抽出；拔出；抽出物；出身
disaster	 n. 灾难，灾祸；不幸
exalt	 v. 提升；提拔；赞扬；使得意
prolific	 adj. 多产的；丰富的
expectant	 adj. 期待的；怀孕的；预期中的 n. 期待者；候选人
apt	 adj. 恰当的；有…倾向的；灵敏的 n. (Apt)人名；(法、波、英)阿普特
used	 adj. 习惯的；二手的，使用过的 v. 用（use的过去式）；（used to）过去常做
carp	 v. 吹毛求疵 n. 鲤鱼
counter	 n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码 v. 反击，还击；反向移动，对着干；反驳，回答 adj. 相反的 adv. 反方向地；背道而驰地
commitment	 n. 承诺，保证；委托；承担义务；献身
ratchet	 n. 棘轮；棘齿 v. 安装棘轮于；松脱
henchman	 n. 亲信；追随者；（美）走狗；侍从
slogan	 n. 标语；呐喊声
give	 v. 给；产生；让步；举办；授予 n. 弹性；弯曲；伸展性
genetics	 n. 遗传学
empress	 n. 皇后；女皇
helium	 n. [化学] 氦（符号为He，2号元素）
formality	 n. 礼节；拘谨；仪式；正式手续
radiator	 n. 散热器；暖气片；辐射体
antonym	 n. [语] 反义词
choreography	 n. 编舞；舞蹈艺术；舞艺
crayon	 n. 蜡笔，有色粉笔 v. 以蜡笔作画，用颜色粉笔画
robust	 adj. 强健的；健康的；粗野的；粗鲁的
cattle	 n. 牛；牲畜（骂人的话）；家畜；无价值的人
solicitor	 n. 律师；法务官；募捐者；掮客
vestige	 n. 遗迹；残余；退化的器官
twice	 adv. 两次；两倍
capsize	 v. 倾覆（特指船）；翻覆；弄翻
supernatural	 adj. 超自然的；神奇的，不可思议的 n. 超自然现象；不可思议的事
crotch	 n. （人的）胯部，分叉处；丫叉
proximity	 n. 接近，[数]邻近；接近；接近度，距离；亲近
plus	 n. 正号，加号；好处；附加额 adj. 正的；附加的 prep. 加，加上
hospice	 n. 收容所；旅客招待所；救济院
mean	 adj. 平均的；卑鄙的；低劣的；吝啬的 v. 意味；想要；意欲 n. 平均值
energy	 n. [物] 能量；精力；活力；精神
cookie	 n. 饼干；小甜点
marital	 adj. 婚姻的；夫妇间的
caption	 n. 标题；字幕；说明；逮捕 v. 加上说明；加上标题
find	 v. 查找，找到；发现；认为；感到；获得 n. 发现
efface	 v. 抹去，抹掉；使自己不受人注意
conflate	 v. 合并；异文合并
hairspray	 n. 头发定型剂
vibration	 n. 振动；犹豫；心灵感应
acknowledge	 v. 承认；答谢；报偿；告知已收到
overgrown	 adj. 蔓生的；生长过快的 v. 生长过度（overgrow的过去分词）
patriarch	 n. 家长；族长；元老；创始人
unveil	 v. 使公之于众，揭开；揭幕
single	 adj. 单一的；单身的；单程的 n. 一个；单打；单程票 v. 选出
gust	 n. 风味；一阵狂风；趣味 v. 一阵阵地劲吹
dappled	 adj. 斑纹的；有斑点的；花的 v. 起斑纹（dapple的过去式和过去分词）
zealot	 n. 狂热者；犹太教狂热信徒
pool	 n. 联营；撞球；水塘；共同资金 v. 联营，合伙经营
alongside	 adv. 在旁边 prep. 在……旁边
derivation	 n. 引出；来历；词源；派生词
temper	 n. 脾气；（钢等）回火；性情；倾向 v. 使回火；锻炼；调和；使缓和
survivor	 n. 幸存者；生还者；残存物
parrot	 n. 鹦鹉；学舌者，应声虫；机械模仿别人的人 v. 机械地模仿
township	 n. 镇区；小镇
academic	 adj. 学术的；理论的；学院的 n. 大学生，大学教师；学者
chariot	 n. 二轮战车 v. 驾驭（过去式charioted，过去分词charioted，现在分词charioting，第三人称单数chariots）
reward	 n. [劳经] 报酬；报答；酬谢 v. [劳经] 奖励；奖赏
envelope	 n. 信封，封皮；包膜；[天] 包层；包迹
decease	 v. 死，死亡 n. 死亡
shower	 n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨 v. 大量地给予；把……弄湿
practicable	 adj. 可用的；行得通的；可实行的
inclusive	 adj. 包括的，包含的
piece	 n. 块；件；篇；硬币 v. 修补；接合；凑合
insanity	 n. 疯狂；精神错乱；精神病；愚顽
quiver	 n. 颤抖；箭袋；震动 v. 颤抖；振动
interlocutor	 n. 对话者；谈话者
holocaust	 n. 大屠杀；毁灭
thereafter	 adv. 其后；从那时以后
hallowed	 adj. 神圣的，神圣化的
recording	 n. 录音；唱片 adj. 记录的；记录用的 v. 录音；记录；录像（record的ing形式）
defame	 v. 诽谤；中伤
furnishings	 n. 家具；供应；穿戴用品（furnishing的复数）
compassionate	 adj. 慈悲的；富于同情心的 v. 同情；怜悯
chat	 v. 聊天；闲谈 n. 聊天；闲谈
etceteras	 n. 附加项目；其余（etcetera的复数形式）
recreation	 n. 娱乐；消遣；休养
nuzzle	 v. 用鼻紧挨，用鼻爱抚；紧贴某人
align	 v. 使结盟；使成一行；匹配
sheath	 n. 鞘；护套；叶鞘；女子紧身服装
loft	 n. 阁楼；顶楼；鸽房 v. 把…储放在阁楼内
sliver	 n. 梳毛，梳棉；裂片 v. 成为薄片；裂成小片
disconcert	 v. 使仓皇失措；使困惑；破坏
could	 aux. 能够 v. 能（can的过去式）
boggle	 v. 犹豫，退缩；惊恐 n. 犹豫，退缩；惊奇
dazzle	 n. 耀眼的光；灿烂 v. 使……目眩；使……眼花
spotless	 adj. 无可挑剔的；无瑕疵的；纯洁的
SAP	 n. [植] 树液；精力，元气；活力；坑道 v. 使衰竭，使伤元气；挖掘以破坏基础
ambiguous	 adj. 模糊不清的；引起歧义的
whizz	 n. 专家；精明的人；子弹等在空中掠过的声音（等于whiz） v. 飕飕作声（等于whiz）
massive	 adj. 大量的；巨大的，厚重的；魁伟的
concord	 n. 和谐；和睦；一致；协调
debtor	 n. 债务人；[会计] 借方
disapprove	 v. 不赞成；不同意
uprising	 n. 起义；升起 adj. 升起的 v. 起义（uprise的ing形式）；升起
heartbroken	 adj. 悲伤的，伤心的
gown	 n. 长袍，长外衣；礼服；睡袍；法衣 v. 使穿睡衣
detector	 n. 探测器；检测器；发现者；侦察器
erase	 v. 抹去；擦除
entrepreneur	 n. 企业家；承包人；主办者
keen	 adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的 n. 痛哭，挽歌
pant	 v. 喘息；渴望；气喘吁吁地说出某事 n. 气喘；喘息；喷气声
barrister	 n. 律师；（加拿大）出庭律师（等于arrister-at-law）；（英）（有资格出席高等法庭并辩护的）专门律师
plateau	 n. 高原 adj. 高原印第安人的
mind	 n. 理智，精神；意见；智力；记忆力 v. 介意；专心于；照料
accredit	 v. 授权；信任；委派；归因于
neurosis	 n. [心理] 神经症；神经衰弱症
insistent	 adj. 坚持的；迫切的；显著的；引人注目的；紧急的
access	 v. 使用；存取；接近 n. 进入；使用权；通路
they	 pron. 他们；它们；她们
intellect	 n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
hell	 n. 地狱；究竟（作加强语气词）；训斥；黑暗势力 vi. 过放荡生活；飞驰 int. 该死；见鬼（表示惊奇、烦恼、厌恶、恼怒、失望等）
academy	 n. 学院；研究院；学会；专科院校
reform	 n. 改革，改良；改正 v. 改革，革新；重新组成 adj. 改革的；改革教会的
crafty	 adj. 狡猾的；灵巧的
tenancy	 n. 租期；租用
competitive	 adj. 竞争的；比赛的；求胜心切的
stupendous	 adj. 惊人的；巨大的
setting	 n. 环境；安装；布置；[天] 沉落 v. 放置；沉没；使…处于某位置（set的ing形式）
tattoo	 n. 文身 v. 刺花纹于
unseemly	 adj. 不适宜的；不得体的 adv. 不得体地；不适宜地
domineer	 v. 跋扈；作威作福
nucleus	 n. 核，核心；原子核
quarrel	 v. 吵架；争论；挑剔 n. 吵架；反目；怨言；争吵的原因；方头凿
habitation	 n. 居住；住所
straighten	 v. 整顿；使…改正；使…挺直；使…好转
symbolic	 adj. 象征的；符号的；使用符号的
rustic	 adj. 乡村的；纯朴的；粗野的；手工粗糙的 n. 乡下人；乡巴佬
constancy	 n. 坚定不移；恒久不变
disadvantageous	 adj. 不利的；不便的；贬抑的
currency	 n. 货币；通货
imbecility	 n. 愚钝；低能；愚蠢的行为，言语等
summons	 n. 召唤；传票；传唤；召集 v. 唤出；传到；传唤到法院
suddenly	 adv. 突然地；忽然
arc	 n. 弧（度）；弧光（全称electric arc）；弧形物；天穹 adj. 圆弧的；反三角函数的 v. 形成电弧；走弧线
terminal	 n. 末端；终点；终端机；极限 adj. 末端的；终点的；晚期的
limestone	 n. [岩] 石灰岩
utilize	 v. 利用
breathtaking	 adj. 惊人的；惊险的；令人激动的
winter	 n. 冬季；年岁；萧条期 v. 过冬 adj. 冬天的；越冬的
bulge	 n. 胀；膨胀；凸出部分 v. 使膨胀；使凸起
elevate	 v. 提升；举起；振奋情绪等；提升…的职位
aggrieved	 adj. 受委屈的，愤愤不平的；权利受到不法侵害的 v. 侵害，伤害（aggrieve的过去分词形式）；使悲痛
foreshore	 n. 海滩；前滩
administration	 n. 管理；行政；实施；行政机构
shake	 v. 动摇；摇动；震动；握手 n. 摇动；哆嗦
ransom	 v. 赎回，赎；勒索赎金；救赎；得赎金后释放 n. 赎金；赎身，赎回
inconvenient	 adj. 不便的；打扰的
marvel	 n. 奇迹 v. 对…感到惊异
cannibal	 n. 食人者；吃同类的动物 adj. 食同类的；吃人肉的；凶残的
thee	 pron. 你（古英语thou的宾格） n. (Thee)人名；(德)特厄
nut	 n. 螺母，螺帽；坚果；难对付的人，难解的问题 v. 采坚果
picturesque	 adj. 独特的；生动的；别致的；图画般的
majesty	 n. 威严；最高权威，王权；雄伟；权威
steely	 adj. 似钢的，钢铁般的；钢制的；严格的 n. (Steely)人名；(英)斯蒂利
dock	 n. 码头；船坞；被告席；尾巴的骨肉部分 v. 使靠码头；剪短
behalf	 n. 代表；利益
swirl	 n. 漩涡；打旋；涡状形 v. 盘绕；打旋；眩晕；大口喝酒
breadth	 n. 宽度，幅度；宽宏
grapple	 v. 抓住；格斗；抓斗机 n. 抓住；格斗
friendly	 adj. 友好的；亲切的；支持的；融洽的，和睦的 adv. 友善地；温和地 n. (Friendly)人名；(英)弗兰德利
stain	 v. 沾污；败坏；给…着色 n. 污点；瑕疵；着色剂
suspect	 n. 嫌疑犯 adj. 可疑的；不可信的 v. 怀疑；猜想
uncle	 n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
curriculum	 n. 课程
duration	 n. 持续，持续的时间，期间
panel	 n. 仪表板；嵌板；座谈小组，全体陪审员 v. 嵌镶板
uneasy	 adj. 不舒服的；心神不安的；不稳定的
despite	 prep. 尽管，不管 n. 轻视；憎恨；侮辱
misery	 n. 痛苦，悲惨；不幸；苦恼；穷困
wayward	 adj. 任性的；不规则的；刚愎的
cartoon	 n. 卡通片，[电影] 动画片；连环漫画 v. 为…画漫画
worm	 n. 虫，蠕虫；蜗杆；螺纹；小人物 v. 使蠕动；给除虫；使缓慢前进
feeler	 n. [动] 触角；试探；试探者；厚薄规
herring	 n. 鲱
skirt	 n. 裙子 v. 绕过，回避；位于…边缘
stipulate	 v. 规定；保证 adj. 有托叶的
soup	 n. 汤，羹；马力 v. 加速；增加马力
colourful	 adj. 鲜艳的；生动的；色彩丰富的；富有趣味的
deliberation	 n. 审议；考虑；从容；熟思
VIP	 abbr. 大人物，贵宾（Very Important Person）；视频接口处理器（Video Interface Processor）；可变信息处理（Variable Information Processing）
ledge	 n. 壁架；突出之部份；暗礁；矿层
barracks	 n. 兵营，营房；简陋的房子；警察所（barrack的复数） v. 使驻扎军营里；住在工房、棚屋里；（澳）大声鼓噪（barrack的三单形式）
fingernail	 n. 手指甲
comprehend	 v. 理解；包含；由…组成
quit	 v. 离开；放弃；停止；使…解除 n. 离开；[计] 退出 adj. 摆脱了…的；已经了结的
teacher	 n. 教师；导师
inescapable	 adj. 不可避免的；逃脱不了的
turnout	 n. 产量；出席者；参加人数；出动；清除；[公路] 岔道
tender	 adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的 n. 偿付，清偿；看管人；小船 v. 提供，偿还；使…变嫩；使…变柔软
begrudge	 v. 羡慕，嫉妒；吝惜，舍不得给
failure	 n. 失败；故障；失败者；破产
icicle	 n. 冰柱；垂冰；冷冰冰的人
occasion	 n. 时机，机会；场合；理由 v. 引起，惹起
dispose	 v. 处理；处置；安排 n. 处置；性情
changeable	 adj. 无常的；可改变的；易变的；不定的
stupor	 n. 昏迷，恍惚；麻木
bouquet	 n. 花束；酒香
parenthood	 n. 亲子关系；父母身份
transport	 n. 运输；运输机；狂喜；流放犯 v. 运输；流放；使狂喜
emigration	 n. 移民；移民出境；移居外国
incantation	 n. 咒语
stockholder	 n. 股东；股票持有人
magnitude	 n. 大小；量级；[地震] 震级；重要；光度
whole	 adj. 完整的；纯粹的 n. 整体；全部
puppet	 n. 木偶；傀儡；受他人操纵的人
mollify	 v. 平息，缓和；使…平静；使…变软
contingency	 n. 偶然性；[安全] 意外事故；可能性；[审计] 意外开支；[离散数学或逻辑学]偶然式
venom	 n. 毒液；恶意 vt. 使有毒；放毒
photo	 n. 照片
flatten	 v. 击败，摧毁；使……平坦 n. (Flatten)人名；(德)弗拉滕
university	 n. 大学；综合性大学；大学校舍
submarine	 n. 潜水艇；海底生物 adj. 海底的；水下的 v. 用潜水艇攻击
digit	 n. 数字；手指或足趾；一指宽
destiny	 n. 命运，定数，天命
straitlaced	 adj. 严格的；固执的；刻板的 v. 用系带缚紧（straitlace的过去式）
designer	 n. 设计师；谋划者 adj. 由设计师专门设计的；享有盛名的；赶时髦的
matter	 n. 物质；事件 v. 有关系；要紧
peer	 n. 贵族；同等的人；同龄人 v. 凝视，盯着看；窥视
vaccine	 n. 疫苗；牛痘苗 adj. 疫苗的；牛痘的
egalitarian	 adj. 平等主义的 n. 平等主义；平等主义者
housecraft	 n. 家政学；（英）管家的技能
victor	 n. 胜利者
bore	 v. 钻孔 n. 孔；令人讨厌的人
seem	 v. 似乎；像是；装作 n. (Seem)人名；(英)西姆
antic	 adj. 古怪的；滑稽可笑的 n. 滑稽动作；丑角 v. 扮小丑；做滑稽动作
popular	 adj. 流行的，通俗的；受欢迎的；大众的；普及的
overwhelming	 adj. 压倒性的；势不可挡的 v. 压倒；淹没（overwhelm的ing形式）；制服
crystal	 n. 结晶，晶体；水晶；水晶饰品 adj. 水晶的；透明的，清澈的
Hindu	 adj. 印度教的；印度的 n. 印度人；印度教教徒
lateral	 adj. 侧面的，横向的 n. 侧部；[语] 边音 vt. 横向传球
deceitful	 adj. 欺骗的；欺诈的；谎言的；虚伪的
gesture	 n. 姿态；手势 v. 作手势；用动作示意
playground	 n. 运动场，操场；游乐场
histrionic	 adj. 戏剧的；演员的，表演的 n. 演员
dormitory	 n. 宿舍，学生宿舍 adj. 住宅区的
abort	 v. 流产；堕胎；夭折；发育不全 n. 中止计划
leverage	 n. 手段，影响力；杠杆作用；杠杆效率 v. 利用；举债经营
responsible	 adj. 负责的，可靠的；有责任的
braid	 v. 编织 n. 辫子；穗带；发辫
wholesale	 adj. 批发的；大规模的 n. 批发 adv. 大规模地；以批发方式 v. 批发
